patch,corruption,accuracy,training_time
baseline,clean,0.6875,188.24973320960999
baseline,occlusion,0.6875,188.24973320960999
baseline,lidar_noise,0.6875,188.24973320960999
baseline,registration,0.6875,188.24973320960999
baseline,rain,0.70703125,188.24973320960999
normalization,clean,0.86328125,41.13154411315918
normalization,occlusion,0.7109375,41.13154411315918
normalization,lidar_noise,0.71484375,41.13154411315918
normalization,registration,0.86328125,41.13154411315918
normalization,rain,0.52734375,41.13154411315918
adversarial,clean,0.63671875,83.11849594116211
adversarial,occlusion,0.65625,83.11849594116211
adversarial,lidar_noise,0.66015625,83.11849594116211
adversarial,registration,0.6484375,83.11849594116211
adversarial,rain,0.703125,83.11849594116211
label_smooth,clean,0.68359375,48.15271329879761
label_smooth,occlusion,0.68359375,48.15271329879761
label_smooth,lidar_noise,0.68359375,48.15271329879761
label_smooth,registration,0.68359375,48.15271329879761
label_smooth,rain,0.7109375,48.15271329879761
tta,clean,0.7109375,49.861754179000854
tta,occlusion,0.71875,49.861754179000854
tta,lidar_noise,0.72265625,49.861754179000854
tta,registration,0.71484375,49.861754179000854
tta,rain,0.7265625,49.861754179000854
